date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:47	37306/37306	---M--	200	added ('OK')	image/jpeg	etag:%2291ba-61935ead54f31%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/location/location-07.jpg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/location/location-07.jpg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:47	15456/15456	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223c60-61935ead3a950%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/company-logo-01.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/company-logo-01.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:47	37459/37459	---M--	200	added ('OK')	image/jpeg	etag:%229253-61935ead54f31%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/location/location-08.jpg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/location/location-08.jpg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:47	14040/14040	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2236d8-61935ead3a950%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/company-logo-02.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/company-logo-02.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:48	24581/24581	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226005-61935ead3a950%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/company-logo-03.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/company-logo-03.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:48	19558/19558	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224c66-61935ead3a950%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/company-logo-04.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/company-logo-04.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:48	32026/32026	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227d1a-61935ead3a950%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/company-logo-05.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/company-logo-05.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:49	613111/613111	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2295af7-61935ead3b8f0%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/company-logo-06.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/company-logo-06.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:49	311784/311784	---M--	200	added ('OK')	image/jpeg	etag:%224c1e8-61935ead30d0f%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/blog/blog-12.jpg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/blog/blog-12.jpg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:50	18867/18867	---M--	200	added ('OK')	image/png	etag:%2249b3-61935ead2beef%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/bg/job-sec-bg-01.png	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/bg/job-sec-bg-01.png	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:50	354197/354197	---M--	200	added ('OK')	image/jpeg	etag:%2256795-61935ead31caf%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/blog/blog-14.jpg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/blog/blog-14.jpg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:50	7012/7012	---M--	200	added ('OK')	image/png	etag:%221b64-61935ead2beef%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/bg/job-sec-bg-02.png	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/bg/job-sec-bg-02.png	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:50	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22664db4b7-4d7%22	https://kofejob.dreamstechnologies.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:51	39213/39213	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22992d-61935ead48410%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/gift-box.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/gift-box.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-3.html)
